epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3056.85,1.93926,1.57018,2.29077,0.60826,0.52734,0.55531,0.18922,2.28172,1.91336,2.85077,0.0018492,0.0018492,0.0018492
91,3090.73,1.98454,1.56764,2.26521,0.65722,0.41981,0.50156,0.16866,2.32361,1.8979,2.8463,0.00184588,0.00184588,0.00184588
92,3124.65,1.90577,1.52901,2.24501,0.66572,0.48585,0.54715,0.18218,2.29692,1.81185,2.82888,0.00184254,0.00184254,0.00184254
93,3158.48,1.94332,1.53379,2.29594,0.63461,0.5489,0.53729,0.18315,2.26911,1.73826,2.78371,0.00183915,0.00183915,0.00183915
94,3192.37,1.94018,1.54469,2.24667,0.61565,0.53774,0.54127,0.18299,2.31892,1.74153,2.84412,0.00183574,0.00183574,0.00183574
95,3226.2,1.9457,1.5803,2.2872,0.62363,0.53149,0.54765,0.17045,2.36174,1.79387,2.9195,0.00183229,0.00183229,0.00183229
96,3260.15,1.94333,1.6023,2.31121,0.60774,0.51887,0.51412,0.14791,2.40408,1.94064,2.93448,0.00182881,0.00182881,0.00182881
97,3294.03,1.88074,1.62147,2.26107,0.53521,0.46698,0.48738,0.15427,2.33885,1.9667,2.91985,0.0018253,0.0018253,0.0018253
98,3327.97,1.949,1.57644,2.26735,0.56922,0.49863,0.52696,0.17682,2.28273,1.87449,2.83146,0.00182175,0.00182175,0.00182175
99,3361.85,1.87483,1.5235,2.24069,0.58892,0.50472,0.52843,0.17864,2.35581,1.75097,2.89438,0.00181818,0.00181818,0.00181818
100,3395.72,1.89161,1.52931,2.25456,0.54155,0.50707,0.49472,0.15892,2.3764,1.86195,2.96053,0.00181457,0.00181457,0.00181457
101,3429.63,1.92299,1.51021,2.25768,0.61104,0.5187,0.54927,0.19506,2.28682,1.81439,2.88676,0.00181093,0.00181093,0.00181093
102,3463.54,1.88107,1.47717,2.23679,0.56452,0.53302,0.5637,0.19349,2.36218,1.73855,2.9177,0.00180725,0.00180725,0.00180725
103,3497.46,1.87957,1.52923,2.21319,0.62416,0.45436,0.51575,0.17074,2.37136,1.92405,2.93209,0.00180355,0.00180355,0.00180355
