epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,9418.12,1.38605,0.91923,1.37565,0.87119,0.77832,0.82931,0.47095,1.68707,0.91836,1.66849,0.00944628,0.00944628,0.00944628
78,9554.97,1.36277,0.92372,1.36142,0.87875,0.71032,0.79996,0.45357,1.65538,0.90143,1.67421,0.00943189,0.00943189,0.00943189
79,9670.43,1.35862,0.91163,1.35084,0.85471,0.77038,0.82232,0.45488,1.67816,0.88786,1.69964,0.00941734,0.00941734,0.00941734
80,9800.43,1.37046,0.91553,1.36578,0.84632,0.74603,0.82149,0.45643,1.70644,0.8684,1.70169,0.00940262,0.00940262,0.00940262
81,9923.42,1.35199,0.91402,1.35944,0.85914,0.75032,0.81813,0.47388,1.64887,0.89456,1.65094,0.00938772,0.00938772,0.00938772
82,10045.5,1.35993,0.91338,1.35394,0.82999,0.75397,0.8105,0.4653,1.68341,0.8722,1.7014,0.00937265,0.00937265,0.00937265
83,10176.5,1.33306,0.90136,1.33956,0.88843,0.75838,0.82715,0.46251,1.68083,0.85409,1.70824,0.00935741,0.00935741,0.00935741
84,10292.1,1.32873,0.88286,1.33615,0.86337,0.75397,0.80748,0.46297,1.68481,0.90048,1.69533,0.009342,0.009342,0.009342
85,10426.5,1.33861,0.87646,1.34782,0.89085,0.71429,0.79912,0.45173,1.64802,0.90075,1.67887,0.00932642,0.00932642,0.00932642
86,10522.3,1.3123,0.86947,1.32031,0.84432,0.75325,0.80148,0.45631,1.71888,0.88042,1.74777,0.00931067,0.00931067,0.00931067
87,10652.2,1.33506,0.87802,1.33475,0.84537,0.73764,0.81072,0.43885,1.74282,0.85617,1.77119,0.00929476,0.00929476,0.00929476
88,10748.4,1.31396,0.86761,1.3188,0.82571,0.75,0.79145,0.44226,1.73995,0.87865,1.78602,0.00927867,0.00927867,0.00927867
89,10867.9,1.31192,0.86451,1.32084,0.83112,0.7381,0.79371,0.45296,1.71112,0.88909,1.72318,0.00926242,0.00926242,0.00926242
90,10975.3,1.30029,0.86072,1.3097,0.83666,0.74603,0.79406,0.463,1.6725,0.90034,1.68509,0.00924601,0.00924601,0.00924601
91,11086.4,1.30712,0.8556,1.31274,0.86793,0.73016,0.79979,0.45735,1.68309,0.85402,1.72022,0.00922942,0.00922942,0.00922942
92,11201.4,1.30668,0.83995,1.3085,0.83229,0.76802,0.81871,0.45908,1.71578,0.85776,1.73418,0.00921268,0.00921268,0.00921268
93,11301.4,1.27217,0.84545,1.30148,0.82294,0.7381,0.79777,0.46938,1.65875,0.8539,1.72558,0.00919576,0.00919576,0.00919576
94,11426.8,1.29072,0.83664,1.30141,0.82094,0.76412,0.80398,0.46629,1.69157,0.80535,1.71256,0.00917869,0.00917869,0.00917869
95,11522.2,1.25849,0.80649,1.28691,0.87579,0.7619,0.81452,0.4611,1.68272,0.83483,1.70505,0.00916145,0.00916145,0.00916145
96,11650.9,1.28572,0.84284,1.2941,0.81822,0.77381,0.79867,0.44801,1.69138,0.86815,1.73121,0.00914405,0.00914405,0.00914405
97,11749,1.25258,0.81257,1.28747,0.86624,0.75397,0.80758,0.46027,1.70905,0.85607,1.75705,0.00912649,0.00912649,0.00912649
98,11867.4,1.25713,0.79899,1.28912,0.85903,0.74963,0.81269,0.45989,1.68514,0.80512,1.7157,0.00910876,0.00910876,0.00910876
99,11974.7,1.2604,0.80789,1.27791,0.86599,0.74206,0.816,0.4628,1.68786,0.84072,1.70541,0.00909088,0.00909088,0.00909088
100,12082.8,1.24235,0.79117,1.27349,0.85577,0.76984,0.81198,0.46522,1.70231,0.81101,1.74296,0.00907284,0.00907284,0.00907284
101,12201,1.24688,0.78513,1.27463,0.84241,0.73016,0.79629,0.46823,1.67976,0.85962,1.70638,0.00905463,0.00905463,0.00905463
102,12299.2,1.2237,0.78138,1.2635,0.79251,0.74206,0.78127,0.45603,1.68264,0.85296,1.74703,0.00903627,0.00903627,0.00903627
103,12428.4,1.24002,0.79821,1.26998,0.85252,0.78571,0.82932,0.47666,1.65792,0.80413,1.70595,0.00901776,0.00901776,0.00901776
104,12524.4,1.22493,0.78977,1.25657,0.86676,0.72619,0.8068,0.47624,1.65749,0.83392,1.73824,0.00899908,0.00899908,0.00899908
105,12648.4,1.24202,0.8025,1.27139,0.90253,0.77381,0.83655,0.48341,1.65414,0.76746,1.69756,0.00898025,0.00898025,0.00898025
106,12750,1.22399,0.78676,1.26038,0.88398,0.75,0.81873,0.48806,1.62447,0.82615,1.67358,0.00896127,0.00896127,0.00896127
107,12863.8,1.20531,0.77372,1.23943,0.87456,0.77465,0.82563,0.47954,1.65655,0.82292,1.7255,0.00894213,0.00894213,0.00894213
108,12976.7,1.20917,0.76771,1.25216,0.87107,0.76984,0.82776,0.48706,1.62693,0.79089,1.68838,0.00892283,0.00892283,0.00892283
109,13080.5,1.19368,0.76619,1.24659,0.88806,0.72619,0.80518,0.47648,1.63722,0.85711,1.71571,0.00890339,0.00890339,0.00890339
110,13202,1.1873,0.75347,1.23663,0.83779,0.78175,0.82317,0.47406,1.68101,0.7925,1.72811,0.00888379,0.00888379,0.00888379
111,13319.5,1.1991,0.76937,1.24761,0.86481,0.75397,0.81452,0.47106,1.67675,0.85403,1.71948,0.00886404,0.00886404,0.00886404
112,13459.6,1.20229,0.75794,1.24812,0.86857,0.74603,0.7969,0.47801,1.64671,0.81143,1.697,0.00884414,0.00884414,0.00884414
113,13568.6,1.17698,0.77287,1.22956,0.88177,0.71429,0.80673,0.48767,1.65393,0.79594,1.69196,0.00882409,0.00882409,0.00882409
114,13718,1.19526,0.75017,1.23038,0.8761,0.75397,0.80733,0.47984,1.67668,0.7685,1.71444,0.00880389,0.00880389,0.00880389
115,13828.2,1.17586,0.73491,1.21156,0.86055,0.78362,0.82163,0.5044,1.59976,0.76014,1.65607,0.00878354,0.00878354,0.00878354
116,13955.8,1.16541,0.74234,1.22389,0.82636,0.76587,0.80911,0.49081,1.62895,0.78449,1.7059,0.00876305,0.00876305,0.00876305
117,14055.6,1.18754,0.75006,1.23202,0.90236,0.77015,0.8395,0.49124,1.61146,0.75842,1.67349,0.00874241,0.00874241,0.00874241
118,14171.5,1.15852,0.72358,1.21465,0.85464,0.76995,0.81579,0.48484,1.6595,0.77464,1.72887,0.00872162,0.00872162,0.00872162
119,14282.3,1.15682,0.73504,1.22263,0.87124,0.77867,0.8266,0.49204,1.62164,0.7483,1.68869,0.00870069,0.00870069,0.00870069
120,14387.3,1.15854,0.74127,1.2107,0.8549,0.78571,0.83215,0.49818,1.6111,0.73358,1.66097,0.00867961,0.00867961,0.00867961
121,14510.1,1.15123,0.72982,1.20355,0.83069,0.77879,0.80951,0.49768,1.60708,0.74445,1.66019,0.00865839,0.00865839,0.00865839
122,14607.1,1.15582,0.73194,1.20818,0.83135,0.78246,0.81362,0.49756,1.64533,0.77618,1.69373,0.00863703,0.00863703,0.00863703
123,14736.9,1.12929,0.70628,1.18766,0.85846,0.77778,0.80769,0.49863,1.62683,0.75747,1.6793,0.00861553,0.00861553,0.00861553
124,14833.1,1.15265,0.71731,1.20771,0.8452,0.75834,0.81677,0.49815,1.62877,0.77534,1.688,0.00859389,0.00859389,0.00859389
125,14958,1.14071,0.71493,1.20541,0.85538,0.7619,0.81973,0.50573,1.61045,0.79319,1.68815,0.0085721,0.0085721,0.0085721
126,15059.5,1.15053,0.72514,1.21516,0.85935,0.76587,0.83126,0.50654,1.63753,0.77483,1.69899,0.00855018,0.00855018,0.00855018
127,15176.3,1.13521,0.69866,1.19233,0.83177,0.79762,0.82154,0.49577,1.61253,0.82466,1.68285,0.00852812,0.00852812,0.00852812
128,15286.9,1.11519,0.69192,1.1799,0.86308,0.77381,0.82973,0.49646,1.60916,0.77066,1.67916,0.00850592,0.00850592,0.00850592
129,15391.3,1.1321,0.69852,1.20289,0.86712,0.77778,0.84633,0.49929,1.63997,0.77623,1.68281,0.00848358,0.00848358,0.00848358
130,15512.7,1.11637,0.69503,1.18507,0.87922,0.78968,0.84815,0.50843,1.62695,0.72623,1.67838,0.00846111,0.00846111,0.00846111
131,15608.4,1.11196,0.698,1.18424,0.85669,0.80159,0.83262,0.49172,1.63985,0.74212,1.69447,0.00843851,0.00843851,0.00843851
132,15739.3,1.10317,0.68789,1.17784,0.84121,0.78968,0.82223,0.49774,1.64756,0.75924,1.68811,0.00841577,0.00841577,0.00841577
133,15835,1.10162,0.68645,1.17618,0.85183,0.75794,0.81846,0.49832,1.62205,0.79048,1.6776,0.0083929,0.0083929,0.0083929
